uncomp,,,,,,comp,,,,,,sczcopy,,,,,
Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte,Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte,Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte
3968,8275512,8275512,258404,258404,65.12197581,3968,12626176,12626176,392992,392992,99.04032258,3968,9476824,9476824,277780,277780,70.00504032
4032,8538012,8538012,262500,262500,65.10416667,4032,13025376,13025376,399200,399200,99.00793651,4032,9758700,9758700,281876,281876,69.90972222
4096,8804608,8804608,266596,266596,65.08691406,4096,13430784,13430784,405408,405408,98.9765625,4096,10044672,10044672,285972,285972,69.81738281
4160,9075300,9075300,270692,270692,65.07019231,4160,13842400,13842400,411616,411616,98.94615385,4160,10334740,10334740,290068,290068,69.72788462
4224,9350088,9350088,274788,274788,65.05397727,4224,14260224,14260224,417824,417824,98.91666667,4224,10628904,10628904,294164,294164,69.64109848
4288,9628972,9628972,278884,278884,65.03824627,4288,14684256,14684256,424032,424032,98.8880597,4288,10927164,10927164,298260,298260,69.55690299
4352,9911952,9911952,282980,282980,65.02297794,4352,15114496,15114496,430240,430240,98.86029412,4352,11229520,11229520,302356,302356,69.47518382
4416,10199028,10199028,287076,287076,65.00815217,4416,15550944,15550944,436448,436448,98.83333333,4416,11535972,11535972,306452,306452,69.39583333
4480,10490200,10490200,291172,291172,64.99375,4480,15993600,15993600,442656,442656,98.80714286,4480,11846520,11846520,310548,310548,69.31875
4544,10785468,10785468,295268,295268,64.97975352,4544,16442464,16442464,448864,448864,98.78169014,4544,12161164,12161164,314644,314644,69.24383803
4608,11084832,11084832,299364,299364,64.96614583,4608,16897536,16897536,455072,455072,98.75694444,4608,12479904,12479904,318740,318740,69.17100694
4672,11388292,11388292,303460,303460,64.95291096,4672,17358816,17358816,461280,461280,98.73287671,4672,12802740,12802740,322836,322836,69.10017123
4736,11695848,11695848,307556,307556,64.94003378,4736,17826304,17826304,467488,467488,98.70945946,4736,13129672,13129672,326932,326932,69.03125
4800,12007500,12007500,311652,311652,64.9275,4800,18300000,18300000,473696,473696,98.68666667,4800,13460700,13460700,331028,331028,68.96416667
4864,12323248,12323248,315748,315748,64.91529605,4864,18779904,18779904,479904,479904,98.66447368,4864,13795824,13795824,335124,335124,68.89884868
4928,12643092,12643092,319844,319844,64.90340909,4928,19266016,19266016,486112,486112,98.64285714,4928,14135044,14135044,339220,339220,68.83522727
4992,12967032,12967032,323940,323940,64.89182692,4992,19758336,19758336,492320,492320,98.62179487,4992,14478360,14478360,343316,343316,68.77323718
